EventID,EventDescription,events_code_column,EventCodeID,EventResultID,EventCode,EventCategoryID,AssociatedCaseStatusID
36360338,CAL:BOND FORFEITURE,EventID,,,,,
36363558,CAL:BOND FORFEITURE,EventID,,,,,
36383974,CAL:BOND FORFEITURE,EventID,,,,,
36387436,CAL:BOND FORFEITURE,EventID,,,,,
36399501,CAL:BOND FORFEITURE,EventID,,,,,
36403842,CAL:BOND FORFEITURE,EventID,,,,,
36411462,CAL:BOND FORFEITURE,EventID,,,,,
36411464,CAL:BOND FORFEITURE,EventID,,,,,
36418529,CAL:BOND FORFEITURE,EventID,,,,,
36418900,CAL:BOND FORFEITURE,EventID,,,,,
36430801,CAL:BOND FORFEITURE,EventID,,,,,
36445031,CAL:BOND FORFEITURE,EventID,,,,,
36454541,CAL:BOND FORFEITURE,EventID,,,,,
36458534,CAL:BOND FORFEITURE,EventID,,,,,
36458536,CAL:BOND FORFEITURE,EventID,,,,,
36459693,CAL:BOND FORFEITURE,EventID,,,,,
36517257,CAL:BOND FORFEITURE,EventID,,,,,
36566321,CAL:BOND FORFEITURE,EventID,,,,,
36620546,CAL:BOND FORFEITURE,EventID,,,,,
36633230,CAL:BOND FORFEITURE,EventID,,,,,
36633233,CAL:BOND FORFEITURE,EventID,,,,,
36736166,CAL:BOND FORFEITURE,EventID,,,,,
36736169,CAL:BOND FORFEITURE,EventID,,,,,
36744144,CAL:BOND FORFEITURE,EventID,,,,,
36754100,CAL:BOND FORFEITURE,EventID,,,,,
36755023,CAL:BOND FORFEITURE,EventID,,,,,
36766192,CAL:BOND FORFEITURE,EventID,,,,,
36766361,CAL:BOND FORFEITURE,EventID,,,,,
36810757,CAL:BOND FORFEITURE,EventID,,,,,
36829952,CAL:BOND FORFEITURE,EventID,,,,,
36849221,CAL:BOND FORFEITURE,EventID,,,,,
36871569,CAL:BOND FORFEITURE,EventID,,,,,
36933158,CAL:BOND FORFEITURE,EventID,,,,,
36945114,CAL:BOND FORFEITURE,EventID,,,,,
37032181,CAL:BOND FORFEITURE,EventID,,,,,
37069947,CAL:BOND FORFEITURE,EventID,,,,,
37092733,CAL:BOND FORFEITURE,EventID,,,,,
37092735,CAL:BOND FORFEITURE,EventID,,,,,
37095372,CAL:BOND FORFEITURE,EventID,,,,,
37095641,CAL:BOND FORFEITURE,EventID,,,,,
37103676,CAL:BOND FORFEITURE,EventID,,,,,
37118119,CAL:BOND FORFEITURE,EventID,,,,,
37129390,CAL:BOND FORFEITURE,EventID,,,,,
37131127,CAL:BOND FORFEITURE,EventID,,,,,
37138521,CAL:BOND FORFEITURE,EventID,,,,,
37152573,CAL:BOND FORFEITURE,EventID,,,,,
37203169,CAL:BOND FORFEITURE,EventID,,,,,
37205053,CAL:BOND FORFEITURE,EventID,,,,,
37221724,CAL:BOND FORFEITURE,EventID,,,,,
37229116,CAL:BOND FORFEITURE,EventID,,,,,
37232775,CAL:BOND FORFEITURE,EventID,,,,,
37234957,CAL:BOND FORFEITURE,EventID,,,,,
37234958,CAL:BOND FORFEITURE,EventID,,,,,
37239955,CAL:BOND FORFEITURE,EventID,,,,,
37267166,CAL:BOND FORFEITURE,EventID,,,,,
37271966,CAL:BOND FORFEITURE,EventID,,,,,
37271968,CAL:BOND FORFEITURE,EventID,,,,,
37279170,CAL:BOND FORFEITURE,EventID,,,,,
37295472,CAL:BOND FORFEITURE,EventID,,,,,
37317491,CAL:BOND FORFEITURE,EventID,,,,,
37317493,CAL:BOND FORFEITURE,EventID,,,,,
37320472,CAL:BOND FORFEITURE,EventID,,,,,
37328184,CAL:BOND FORFEITURE,EventID,,,,,
37354214,CAL:BOND FORFEITURE (PROB),EventID,,,,,
37356590,CAL:BOND FORFEITURE,EventID,,,,,
37362446,CAL:BOND FORFEITURE,EventID,,,,,
37362453,CAL:BOND FORFEITURE,EventID,,,,,
37367709,CAL:BOND FORFEITURE (PROB),EventID,,,,,
37367711,CAL:BOND FORFEITURE,EventID,,,,,
37381105,CAL:BOND FORFEITURE,EventID,,,,,
37381111,CAL:BOND FORFEITURE,EventID,,,,,
37381113,CAL:BOND FORFEITURE,EventID,,,,,
37391917,CAL:BOND FORFEITURE,EventID,,,,,
37406940,CAL:BOND FORFEITURE,EventID,,,,,
37427089,CAL:BOND FORFEITURE (PROB),EventID,,,,,
37473246,CAL:BOND FORFEITURE (PROB),EventID,,,,,
37480455,CAL:BOND FORFEITURE,EventID,,,,,
37499842,CAL:BOND FORFEITURE,EventID,,,,,
37521105,CAL:BOND FORFEITURE,EventID,,,,,
37575764,CAL:BOND FORFEITURE,EventID,,,,,
37610792,CAL:BOND FORFEITURE,EventID,,,,,
37611135,CAL:BOND FORFEITURE,EventID,,,,,
37615972,CAL:BOND FORFEITURE,EventID,,,,,
37616044,CAL:BOND FORFEITURE,EventID,,,,,
37620413,CAL:BOND FORFEITURE,EventID,,,,,
37675577,CAL:BOND FORFEITURE,EventID,,,,,
37691341,CAL:BOND FORFEITURE,EventID,,,,,
37691647,CAL:BOND FORFEITURE,EventID,,,,,
37706140,CAL:BOND FORFEITURE,EventID,,,,,
37706145,CAL:BOND FORFEITURE,EventID,,,,,
37706404,CAL:BOND FORFEITURE,EventID,,,,,
37706409,CAL:BOND FORFEITURE,EventID,,,,,
37706440,CAL:BOND FORFEITURE,EventID,,,,,
37727810,CAL:BOND FORFEITURE,EventID,,,,,
37755002,CAL:BOND FORFEITURE,EventID,,,,,
37756576,CAL:BOND FORFEITURE,EventID,,,,,
37756869,CAL:BOND FORFEITURE,EventID,,,,,
37757790,CAL:BOND FORFEITURE,EventID,,,,,
37790013,CAL:BOND FORFEITURE,EventID,,,,,
37798145,CAL:BOND FORFEITURE,EventID,,,,,
37809282,CAL:BOND FORFEITURE,EventID,,,,,
37833225,CAL:BOND FORFEITURE,EventID,,,,,
37839869,CAL:BOND FORFEITURE,EventID,,,,,
37839891,CAL:BOND FORFEITURE,EventID,,,,,
37840033,CAL:BOND FORFEITURE,EventID,,,,,
37854013,CAL:BOND FORFEITURE,EventID,,,,,
37886898,CAL:BOND FORFEITURE,EventID,,,,,
37891297,CAL:BOND FORFEITURE,EventID,,,,,
37900155,CAL:BOND FORFEITURE,EventID,,,,,
37900358,CAL:BOND FORFEITURE,EventID,,,,,
37912179,CAL:BOND FORFEITURE,EventID,,,,,
37927950,CAL:BOND FORFEITURE,EventID,,,,,
37927953,CAL:BOND FORFEITURE,EventID,,,,,
37928224,CAL:BOND FORFEITURE,EventID,,,,,
37928226,CAL:BOND FORFEITURE,EventID,,,,,
37929840,CAL:BOND FORFEITURE,EventID,,,,,
37937967,CAL:BOND FORFEITURE,EventID,,,,,
37938297,CAL:BOND FORFEITURE,EventID,,,,,
37938536,CAL:BOND FORFEITURE,EventID,,,,,
37946651,CAL:BOND FORFEITURE,EventID,,,,,
37948316,CAL:BOND FORFEITURE,EventID,,,,,
37949363,CAL:BOND FORFEITURE,EventID,,,,,
37949366,CAL:BOND FORFEITURE,EventID,,,,,
37949732,CAL:BOND FORFEITURE,EventID,,,,,
37949743,CAL:BOND FORFEITURE,EventID,,,,,
37953718,CAL:BOND FORFEITURE,EventID,,,,,
37963340,CAL:BOND FORFEITURE,EventID,,,,,
37973738,CAL:BOND FORFEITURE,EventID,,,,,
38026162,CAL:BOND FORFEITURE,EventID,,,,,
38026396,CAL:BOND FORFEITURE,EventID,,,,,
38026937,CAL:BOND FORFEITURE,EventID,,,,,
38029057,CAL:BOND FORFEITURE,EventID,,,,,
38038210,CAL:BOND FORFEITURE,EventID,,,,,
38062528,CAL:BOND FORFEITURE,EventID,,,,,
38062536,CAL:BOND FORFEITURE,EventID,,,,,
38062901,CAL:BOND FORFEITURE,EventID,,,,,
38062903,CAL:BOND FORFEITURE,EventID,,,,,
38121158,CAL:BOND FORFEITURE,EventID,,,,,
38121162,CAL:BOND FORFEITURE,EventID,,,,,
38140393,CAL:BOND FORFEITURE,EventID,,,,,
38142677,CAL:BOND FORFEITURE,EventID,,,,,
38147523,CAL:BOND FORFEITURE,EventID,,,,,
38161938,CAL:BOND FORFEITURE,EventID,,,,,
38191842,CAL:BOND FORFEITURE,EventID,,,,,
38191847,CAL:BOND FORFEITURE,EventID,,,,,
38207744,CAL:BOND FORFEITURE,EventID,,,,,
38207773,CAL:BOND FORFEITURE,EventID,,,,,
38208076,CAL:BOND FORFEITURE,EventID,,,,,
38209414,CAL:BOND FORFEITURE,EventID,,,,,
38212705,CAL:BOND FORFEITURE,EventID,,,,,
38222789,CAL:BOND FORFEITURE,EventID,,,,,
38222974,CAL:BOND FORFEITURE,EventID,,,,,
38244984,CAL:BOND FORFEITURE,EventID,,,,,
38247987,CAL:BOND FORFEITURE,EventID,,,,,
38251562,CAL:BOND FORFEITURE,EventID,,,,,
38251565,CAL:BOND FORFEITURE,EventID,,,,,
38255769,CAL:BOND FORFEITURE,EventID,,,,,
38279110,CAL:BOND FORFEITURE,EventID,,,,,
38287935,CAL:BOND FORFEITURE,EventID,,,,,
38292277,CAL:BOND FORFEITURE,EventID,,,,,
38292281,CAL:BOND FORFEITURE,EventID,,,,,
38305980,CAL:BOND FORFEITURE,EventID,,,,,
38307176,CAL:BOND FORFEITURE,EventID,,,,,
38312852,CAL:BOND FORFEITURE,EventID,,,,,
38326632,CAL:BOND FORFEITURE,EventID,,,,,
38327213,CAL:BOND FORFEITURE,EventID,,,,,
38330427,CAL:BOND FORFEITURE,EventID,,,,,
38333276,CAL:BOND FORFEITURE,EventID,,,,,
38334968,CAL:BOND FORFEITURE,EventID,,,,,
38337376,CAL:BOND FORFEITURE,EventID,,,,,
38342164,CAL:BOND FORFEITURE,EventID,,,,,
38352196,CAL:BOND FORFEITURE,EventID,,,,,
38352834,CAL:BOND FORFEITURE,EventID,,,,,
38353181,CAL:BOND FORFEITURE,EventID,,,,,
38360792,CAL:BOND FORFEITURE,EventID,,,,,
38360796,CAL:BOND FORFEITURE,EventID,,,,,
38368873,CAL:BOND FORFEITURE,EventID,,,,,
38368879,CAL:BOND FORFEITURE,EventID,,,,,
38369523,CAL:BOND FORFEITURE,EventID,,,,,
38370973,CAL:BOND FORFEITURE,EventID,,,,,
38370981,CAL:BOND FORFEITURE,EventID,,,,,
38371162,CAL:BOND FORFEITURE,EventID,,,,,
38372304,CAL:BOND FORFEITURE,EventID,,,,,
38373683,CAL:BOND FORFEITURE,EventID,,,,,
38376852,CAL:BOND FORFEITURE,EventID,,,,,
38376859,CAL:BOND FORFEITURE,EventID,,,,,
38380539,CAL:BOND FORFEITURE,EventID,,,,,
38380543,CAL:BOND FORFEITURE,EventID,,,,,
38381000,CAL:BOND FORFEITURE,EventID,,,,,
38381007,CAL:BOND FORFEITURE,EventID,,,,,
38382108,CAL:BOND FORFEITURE,EventID,,,,,
38388896,CAL:BOND FORFEITURE,EventID,,,,,
38411944,CAL:BOND FORFEITURE,EventID,,,,,
38421346,CAL:BOND FORFEITURE,EventID,,,,,
38423034,CAL:BOND FORFEITURE,EventID,,,,,
38431381,CAL:BOND FORFEITURE,EventID,,,,,
38431683,CAL:BOND FORFEITURE,EventID,,,,,
38433117,CAL:BOND FORFEITURE,EventID,,,,,
38433276,CAL:BOND FORFEITURE,EventID,,,,,
38435887,CAL:BOND FORFEITURE,EventID,,,,,
38435890,CAL:BOND FORFEITURE,EventID,,,,,
38435893,CAL:BOND FORFEITURE,EventID,,,,,
38441986,CAL:BOND FORFEITURE,EventID,,,,,
38445945,CAL:BOND FORFEITURE,EventID,,,,,
38456438,CAL:BOND FORFEITURE,EventID,,,,,
38459607,CAL:BOND FORFEITURE,EventID,,,,,
38460798,CAL:BOND FORFEITURE,EventID,,,,,
38460801,CAL:BOND FORFEITURE,EventID,,,,,
38462855,CAL:BOND FORFEITURE,EventID,,,,,
38469276,CAL:BOND FORFEITURE,EventID,,,,,
38469285,CAL:BOND FORFEITURE,EventID,,,,,
38469500,CAL:BOND FORFEITURE,EventID,,,,,
38471987,CAL:BOND FORFEITURE (PROB),EventID,,,,,
38482338,CAL:BOND FORFEITURE,EventID,,,,,
38483815,CAL:BOND FORFEITURE,EventID,,,,,
38488113,CAL:BOND FORFEITURE,EventID,,,,,
38488349,CAL:BOND FORFEITURE,EventID,,,,,
38488494,CAL:BOND FORFEITURE,EventID,,,,,
38488715,CAL:BOND FORFEITURE,EventID,,,,,
38488718,CAL:BOND FORFEITURE,EventID,,,,,
38494174,CAL:BOND FORFEITURE,EventID,,,,,
38503945,CAL:BOND FORFEITURE,EventID,,,,,
38507930,CAL:BOND FORFEITURE,EventID,,,,,
38507987,CAL:BOND FORFEITURE,EventID,,,,,
38508236,CAL:BOND FORFEITURE,EventID,,,,,
38509648,CAL:BOND FORFEITURE,EventID,,,,,
38509752,CAL:BOND FORFEITURE,EventID,,,,,
38510143,CAL:BOND FORFEITURE,EventID,,,,,
38510149,CAL:BOND FORFEITURE,EventID,,,,,
38510153,CAL:BOND FORFEITURE,EventID,,,,,
38510904,CAL:BOND FORFEITURE,EventID,,,,,
38513160,CAL:BOND FORFEITURE,EventID,,,,,
38513422,CAL:BOND FORFEITURE,EventID,,,,,
38513427,CAL:BOND FORFEITURE,EventID,,,,,
38513741,CAL:BOND FORFEITURE,EventID,,,,,
38522470,CAL:BOND FORFEITURE,EventID,,,,,
38522555,CAL:BOND FORFEITURE,EventID,,,,,
38522632,CAL:BOND FORFEITURE,EventID,,,,,
38522724,CAL:BOND FORFEITURE,EventID,,,,,
38524516,CAL:BOND FORFEITURE,EventID,,,,,
38524754,CAL:BOND FORFEITURE,EventID,,,,,
38524758,CAL:BOND FORFEITURE,EventID,,,,,
38538001,CAL:BOND FORFEITURE,EventID,,,,,
38543195,CAL:BOND FORFEITURE,EventID,,,,,
38543729,CAL:BOND FORFEITURE,EventID,,,,,
38547694,CAL:BOND FORFEITURE,EventID,,,,,
38551552,CAL:BOND FORFEITURE,EventID,,,,,
38551863,CAL:BOND FORFEITURE,EventID,,,,,
38555438,CAL:BOND FORFEITURE,EventID,,,,,
38555578,CAL:BOND FORFEITURE,EventID,,,,,
38560943,CAL:BOND FORFEITURE,EventID,,,,,
38561092,CAL:BOND FORFEITURE,EventID,,,,,
38561404,CAL:BOND FORFEITURE,EventID,,,,,
38742480,CAL:BOND FORFEITURE,EventID,,,,,
38742482,CAL:BOND FORFEITURE,EventID,,,,,
38757308,CAL:BOND FORFEITURE,EventID,,,,,
38781178,CAL:BOND FORFEITURE,EventID,,,,,
38798031,CAL:BOND FORFEITURE,EventID,,,,,
38798033,CAL:BOND FORFEITURE,EventID,,,,,
38799011,CAL:BOND FORFEITURE,EventID,,,,,
38819660,CAL:BOND FORFEITURE,EventID,,,,,
38821389,CAL:BOND FORFEITURE,EventID,,,,,
38852977,CAL:BOND FORFEITURE,EventID,,,,,
38856481,CAL:BOND FORFEITURE,EventID,,,,,
38856705,CAL:BOND FORFEITURE,EventID,,,,,
38856737,CAL:BOND FORFEITURE,EventID,,,,,
38862993,CAL:BOND FORFEITURE,EventID,,,,,
38868031,CAL:BOND FORFEITURE,EventID,,,,,
38868062,CAL:BOND FORFEITURE,EventID,,,,,
38870430,CAL:BOND FORFEITURE,EventID,,,,,
38873091,CAL:BOND FORFEITURE,EventID,,,,,
38873295,CAL:BOND FORFEITURE,EventID,,,,,
38873299,CAL:BOND FORFEITURE,EventID,,,,,
38896488,CAL:BOND FORFEITURE,EventID,,,,,
38909987,CAL:BOND FORFEITURE,EventID,,,,,
38910187,CAL:BOND FORFEITURE,EventID,,,,,
38910192,CAL:BOND FORFEITURE,EventID,,,,,
38910395,CAL:BOND FORFEITURE,EventID,,,,,
38910398,CAL:BOND FORFEITURE,EventID,,,,,
38910542,CAL:BOND FORFEITURE,EventID,,,,,
38912381,CAL:BOND FORFEITURE,EventID,,,,,
38912386,CAL:BOND FORFEITURE,EventID,,,,,
38925965,CAL:BOND FORFEITURE,EventID,,,,,
38929101,CAL:BOND FORFEITURE,EventID,,,,,
38929517,CAL:BOND FORFEITURE,EventID,,,,,
38938960,CAL:BOND FORFEITURE,EventID,,,,,
38941168,CAL:BOND FORFEITURE,EventID,,,,,
38941186,CAL:BOND FORFEITURE,EventID,,,,,
38941887,CAL:BOND FORFEITURE,EventID,,,,,
38956631,CAL:BOND FORFEITURE,EventID,,,,,
38956633,CAL:BOND FORFEITURE,EventID,,,,,
38960217,CAL:BOND FORFEITURE,EventID,,,,,
38960222,CAL:BOND FORFEITURE,EventID,,,,,
38960442,CAL:BOND FORFEITURE,EventID,,,,,
38960454,CAL:BOND FORFEITURE,EventID,,,,,
38960677,CAL:BOND FORFEITURE,EventID,,,,,
38960680,CAL:BOND FORFEITURE,EventID,,,,,
38978874,CAL:BOND FORFEITURE,EventID,,,,,
38978961,CAL:BOND FORFEITURE,EventID,,,,,
38979197,CAL:BOND FORFEITURE,EventID,,,,,
38979221,CAL:BOND FORFEITURE,EventID,,,,,
38993502,CAL:BOND FORFEITURE,EventID,,,,,
39001084,CAL:BOND FORFEITURE,EventID,,,,,
39001085,CAL:BOND FORFEITURE,EventID,,,,,
39004911,CAL:BOND FORFEITURE,EventID,,,,,
39016138,CAL:BOND FORFEITURE,EventID,,,,,
39017029,CAL:BOND FORFEITURE,EventID,,,,,
39017031,CAL:BOND FORFEITURE,EventID,,,,,
39017035,CAL:BOND FORFEITURE,EventID,,,,,
39017209,CAL:BOND FORFEITURE,EventID,,,,,
39017210,CAL:BOND FORFEITURE,EventID,,,,,
39017252,CAL:BOND FORFEITURE,EventID,,,,,
39017258,CAL:BOND FORFEITURE,EventID,,,,,
39019429,CAL:BOND FORFEITURE,EventID,,,,,
39019685,CAL:BOND FORFEITURE,EventID,,,,,
39037596,CAL:BOND FORFEITURE,EventID,,,,,
39037598,CAL:BOND FORFEITURE,EventID,,,,,
39037601,CAL:BOND FORFEITURE,EventID,,,,,
39037636,CAL:BOND FORFEITURE,EventID,,,,,
39037989,CAL:BOND FORFEITURE,EventID,,,,,
39038020,CAL:BOND FORFEITURE,EventID,,,,,
39038026,CAL:BOND FORFEITURE,EventID,,,,,
39045747,CAL:BOND FORFEITURE (PROB),EventID,,,,,
39045975,CAL:BOND FORFEITURE,EventID,,,,,
